Brand,ProductName,FlavorProfile,Type,Ingredients,Caffeine_mg,Sugar_g,Calories,HealthTags,MarketRegion,UseCase,ReviewSummary,MedicalTags
Mirinda,Mirinda Citrus Blast,Citrus,Tonic,"Sweetener, Herbal Extract, Sweetener, Carbonated Water, Herbal Extract, Sugar",0,20,80,Zero calorie,Mexico,Everyday,Stay pressure friend production agent partner full manager there guy.,Caffeine-free
Mountain Dew,Mountain Dew Lemon-Lime Blast,Lemon-Lime,Tonic,"Citric Acid, Sugar, Sugar, Sodium Benzoate, Artificial Flavor, Sugar",80,5,20,"Low sugar, Low calorie",South Africa,Weight Management,Culture among surface before blue reason.,"Low-sugar, Low-calorie"
Big Cola,Big Cola Lemon-Lime Blast,Lemon-Lime,Sparkling Water,"Citric Acid, Carbonated Water, Caffeine, Sugar, Fruit Juice Concentrate, Fruit Juice Concentrate",40,10,40,Sugar-free,South Africa,Post-workout,Firm pick sell central eight same base.,Low-calorie
Monster,Monster Citrus Blast,Citrus,Sparkling Water,"Sodium Benzoate, Carbonated Water, Sodium Benzoate, Carbonated Water, Fruit Juice Concentrate, Sodium Benzoate",160,0,0,"Sugar-free, Zero calorie, High caffeine",Germany,Weight Management,Still season they begin peace shoulder have thank past measure.,"Diabetic-safe, Low-calorie, High-caffeine"
Canada Dry,Canada Dry Lime Blast,Lime,Soda,"Carbonated Water, Fruit Juice Concentrate, Citric Acid, Natural Flavors, Fruit Juice Concentrate, Carbonated Water",10,40,160,Regular,Japan,Everyday,Decision center keep senior little whole.,Low-caffeine
Thums Up,Thums Up Citrus Blast,Citrus,Tonic,"Sugar, Natural Flavors, Sodium Benzoate, Caffeine, Herbal Extract, Artificial Flavor",40,5,20,"Low sugar, Low calorie",Canada,Post-workout,Walk produce never article have sing technology suddenly serve red.,"Low-sugar, Low-calorie"
LaCroix,LaCroix Lime Blast,Lime,Soda,"Herbal Extract, Sodium Benzoate, Natural Flavors, Fruit Juice Concentrate, Sugar, Caffeine",160,40,160,Sugar-free,Germany,Weight Management,Bag car the there effect house.,High-caffeine
Appy Fizz,Appy Fizz Strawberry Blast,Strawberry,Sparkling Juice,"Artificial Flavor, Natural Flavors, Caffeine, Caffeine, Fruit Juice Concentrate, Fruit Juice Concentrate",160,10,40,"Low calorie, High caffeine",USA,Kids-friendly,Tonight hand thus night no choose side report smile cultural.,"Low-calorie, High-caffeine"
7UP,7UP Coconut Blast,Coconut,Energy Drink,"Artificial Flavor, Fruit Juice Concentrate, Caffeine, Natural Flavors, Sugar, Citric Acid",30,5,20,"Low sugar, Low calorie",USA,Everyday,Add join likely capital remember drug much provide everybody point.,"Low-sugar, Low-calorie"
Mountain Dew,Mountain Dew Apple Blast,Apple,Sparkling Water,"Sodium Benzoate, Citric Acid, Caffeine, Sweetener, Sodium Benzoate, Caffeine",120,5,20,"Low sugar, Low calorie, High caffeine",USA,Everyday,Plan our prepare plant court newspaper join push institution.,"Low-sugar, Low-calorie, High-caffeine"
Topo Chico,Topo Chico Mango Blast,Mango,Tonic,"Sodium Benzoate, Citric Acid, Citric Acid, Carbonated Water, Sodium Benzoate, Fruit Juice Concentrate",160,5,20,Low calorie,Australia,Party,Leader rate site none send.,"Low-sugar, Low-calorie, High-caffeine"
Red Bull,Red Bull Apple Blast,Apple,Diet Soda,"Herbal Extract, Caffeine, Carbonated Water, Artificial Flavor, Fruit Juice Concentrate, Sodium Benzoate",160,30,120,High caffeine,Mexico,Post-workout,Save stay responsibility leg send adult example nor human.,High-caffeine
Jarritos,Jarritos Strawberry Blast,Strawberry,Soda,"Caffeine, Sweetener, Sodium Benzoate, Artificial Flavor, Artificial Flavor, Artificial Flavor",10,20,80,Regular,USA,Energy Boost,Study item performance deep kind situation.,Low-caffeine
Limca,Limca Mixed Fruit Blast,Mixed Fruit,Sparkling Juice,"Sweetener, Artificial Flavor, Natural Flavors, Sugar, Herbal Extract, Carbonated Water",0,40,160,Caffeine-free,Canada,Everyday,Center lay dream later.,Caffeine-free
Appy Fizz,Appy Fizz Cola Blast,Cola,Energy Drink,"Natural Flavors, Caffeine, Sugar, Sweetener, Citric Acid, Caffeine",0,30,120,Low calorie,UK,Energy Boost,Scientist issue decade occur education week follow rather.,Caffeine-free
Pepsi,Pepsi Mint Blast,Mint,Sparkling Juice,"Natural Flavors, Caffeine, Citric Acid, Carbonated Water, Fruit Juice Concentrate, Artificial Flavor",160,30,120,Zero calorie,Brazil,Energy Boost,Such laugh stage Congress recent manage.,High-caffeine
Limca,Limca Tamarind Blast,Tamarind,Diet Soda,"Herbal Extract, Carbonated Water, Natural Flavors, Citric Acid, Herbal Extract, Natural Flavors",10,40,160,Sugar-free,Australia,Weight Management,Subject past than method gas worker wear perhaps.,Low-caffeine
Irn-Bru,Irn-Bru Grape Blast,Grape,Energy Drink,"Carbonated Water, Fruit Juice Concentrate, Carbonated Water, Citric Acid, Citric Acid, Sodium Benzoate",120,20,80,Sugar-free,USA,Kids-friendly,Foreign part thought rule suffer situation really.,High-caffeine
Topo Chico,Topo Chico Melon Blast,Melon,Soda,"Citric Acid, Fruit Juice Concentrate, Sweetener, Natural Flavors, Artificial Flavor, Caffeine",0,30,120,Sugar-free,UK,Weight Management,Always page statement southern age here environmental maintain.,Caffeine-free
LaCroix,LaCroix Lemon-Lime Blast,Lemon-Lime,Sparkling Juice,"Fruit Juice Concentrate, Sweetener, Herbal Extract, Citric Acid, Herbal Extract, Sugar",120,30,120,High caffeine,Australia,Weight Management,Return operation life enough.,High-caffeine
LaCroix,LaCroix Strawberry Blast,Strawberry,Diet Soda,"Artificial Flavor, Citric Acid, Natural Flavors, Sodium Benzoate, Sweetener, Caffeine",120,0,0,Low calorie,Japan,Party,Follow blue smile rich how identify better east rather.,"Diabetic-safe, Low-calorie, High-caffeine"
Jarritos,Jarritos Apple Blast,Apple,Sparkling Water,"Caffeine, Caffeine, Sugar, Fruit Juice Concentrate, Sugar, Citric Acid",80,0,0,"Sugar-free, Zero calorie",UK,Energy Boost,Professor question budget whatever company face act place you fish.,"Diabetic-safe, Low-calorie"
Fresca,Fresca Lime Blast,Lime,Sparkling Water,"Sweetener, Sweetener, Citric Acid, Sugar, Sodium Benzoate, Citric Acid",80,10,40,Sugar-free,Canada,Post-workout,Return laugh race deal couple thing.,Low-calorie
Fresca,Fresca Berry Blast,Berry,Sparkling Juice,"Sweetener, Natural Flavors, Sodium Benzoate, Herbal Extract, Herbal Extract, Carbonated Water",10,0,0,"Sugar-free, Zero calorie",USA,Party,Whose bit bad ever war choose us.,"Diabetic-safe, Low-caffeine, Low-calorie"
Fresca,Fresca Apple Blast,Apple,Sparkling Juice,"Carbonated Water, Sweetener, Sodium Benzoate, Artificial Flavor, Sodium Benzoate, Natural Flavors",30,10,40,Zero calorie,Mexico,Everyday,Gas woman interest style course worry stock store.,Low-calorie
Coca-Cola,Coca-Cola Coconut Blast,Coconut,Sparkling Juice,"Artificial Flavor, Sugar, Sweetener, Natural Flavors, Natural Flavors, Artificial Flavor",160,5,20,Low calorie,Canada,Kids-friendly,Nature phone live unit tax.,"Low-sugar, Low-calorie, High-caffeine"
Mountain Dew,Mountain Dew Pineapple Blast,Pineapple,Sparkling Juice,"Sugar, Carbonated Water, Sugar, Artificial Flavor, Fruit Juice Concentrate, Citric Acid",40,0,0,Zero calorie,USA,Hydration,There consider it much minute result blood crime notice without.,"Diabetic-safe, Low-calorie"
LaCroix,LaCroix Herbal Blast,Herbal,Diet Soda,"Carbonated Water, Natural Flavors, Citric Acid, Sweetener, Fruit Juice Concentrate, Sodium Benzoate",0,0,0,"Sugar-free, Zero calorie, Caffeine-free",Canada,Kids-friendly,Central to he of.,"Diabetic-safe, Caffeine-free, Low-calorie, Kids-friendly"
Red Bull,Red Bull Lime Blast,Lime,Tonic,"Herbal Extract, Sodium Benzoate, Natural Flavors, Sodium Benzoate, Fruit Juice Concentrate, Citric Acid",120,10,40,Zero calorie,Brazil,Hydration,Seem magazine animal than rate report physical room spend.,"Low-calorie, High-caffeine"
Irn-Bru,Irn-Bru Pineapple Blast,Pineapple,Sparkling Water,"Carbonated Water, Sweetener, Natural Flavors, Citric Acid, Natural Flavors, Artificial Flavor",10,30,120,Low calorie,Germany,Everyday,Side continue heavy dinner man never assume still mother.,Low-caffeine
Mountain Dew,Mountain Dew Pineapple Blast,Pineapple,Diet Soda,"Sugar, Sugar, Citric Acid, Sweetener, Caffeine, Artificial Flavor",160,40,160,Zero calorie,India,Weight Management,Eye too send wonder according myself knowledge mind.,High-caffeine
Red Bull,Red Bull Mint Blast,Mint,Energy Drink,"Caffeine, Sweetener, Natural Flavors, Citric Acid, Fruit Juice Concentrate, Sugar",160,40,160,Zero calorie,Germany,Party,Town want think federal sing article project garden everyone.,High-caffeine
Appy Fizz,Appy Fizz Coconut Blast,Coconut,Sparkling Water,"Fruit Juice Concentrate, Herbal Extract, Sodium Benzoate, Carbonated Water, Carbonated Water, Citric Acid",10,0,0,"Sugar-free, Zero calorie",Brazil,Hydration,Art federal ever commercial someone chair spring blood others.,"Diabetic-safe, Low-caffeine, Low-calorie"
LaCroix,LaCroix Berry Blast,Berry,Diet Soda,"Artificial Flavor, Carbonated Water, Citric Acid, Caffeine, Natural Flavors, Carbonated Water",10,10,40,Low calorie,Germany,Party,Modern once agree decision degree stock heart.,"Low-caffeine, Low-calorie"
7UP,7UP Grape Blast,Grape,Soda,"Sugar, Fruit Juice Concentrate, Sweetener, Sugar, Sugar, Herbal Extract",10,0,0,"Sugar-free, Zero calorie",Australia,Energy Boost,Instead senior across available surface him produce.,"Diabetic-safe, Low-caffeine, Low-calorie"
Fanta,Fanta Coconut Blast,Coconut,Sparkling Water,"Sodium Benzoate, Carbonated Water, Herbal Extract, Sugar, Citric Acid, Sodium Benzoate",80,10,40,Zero calorie,Australia,Everyday,Mrs wall part decade natural fine create between.,Low-calorie
Red Bull,Red Bull Herbal Blast,Herbal,Soda,"Artificial Flavor, Artificial Flavor, Carbonated Water, Sweetener, Carbonated Water, Artificial Flavor",120,10,40,"Low calorie, High caffeine",India,Weight Management,Citizen join thought personal product money fall.,"Low-calorie, High-caffeine"
Mirinda,Mirinda Mint Blast,Mint,Diet Soda,"Sweetener, Artificial Flavor, Artificial Flavor, Citric Acid, Herbal Extract, Carbonated Water",120,20,80,High caffeine,UK,Post-workout,Simple example might personal smile edge themselves worker authority company.,High-caffeine
Sprite,Sprite Lemon-Lime Blast,Lemon-Lime,Soda,"Herbal Extract, Artificial Flavor, Sugar, Sodium Benzoate, Natural Flavors, Carbonated Water",0,0,0,Sugar-free,Japan,Hydration,Guy everybody development size lose stock human.,"Diabetic-safe, Caffeine-free, Low-calorie, Kids-friendly"
Mountain Dew,Mountain Dew Lime Blast,Lime,Soda,"Natural Flavors, Sugar, Herbal Extract, Sodium Benzoate, Fruit Juice Concentrate, Carbonated Water",40,10,40,Low calorie,India,Weight Management,Information wife deal pretty add.,Low-calorie
Mountain Dew,Mountain Dew Coconut Blast,Coconut,Tonic,"Fruit Juice Concentrate, Fruit Juice Concentrate, Fruit Juice Concentrate, Sugar, Citric Acid, Natural Flavors",160,0,0,Sugar-free,Germany,Energy Boost,Soldier president daughter range exist population loss agent arm similar.,"Diabetic-safe, Low-calorie, High-caffeine"
Fresca,Fresca Grape Blast,Grape,Energy Drink,"Carbonated Water, Sodium Benzoate, Citric Acid, Natural Flavors, Fruit Juice Concentrate, Citric Acid",30,5,20,"Low sugar, Low calorie",South Africa,Post-workout,Lawyer name produce especially board.,"Low-sugar, Low-calorie"
Topo Chico,Topo Chico Grape Blast,Grape,Energy Drink,"Natural Flavors, Citric Acid, Herbal Extract, Fruit Juice Concentrate, Natural Flavors, Citric Acid",30,5,20,"Low sugar, Low calorie",UK,Energy Boost,Possible remember environment beyond dog thought environment.,"Low-sugar, Low-calorie"
Mirinda,Mirinda Strawberry Blast,Strawberry,Tonic,"Carbonated Water, Caffeine, Citric Acid, Fruit Juice Concentrate, Fruit Juice Concentrate, Carbonated Water",120,30,120,High caffeine,India,Everyday,Tv because tax scientist forget technology attorney change recognize.,High-caffeine
Canada Dry,Canada Dry Tamarind Blast,Tamarind,Sparkling Water,"Artificial Flavor, Citric Acid, Carbonated Water, Carbonated Water, Herbal Extract, Carbonated Water",10,20,80,Sugar-free,Canada,Kids-friendly,Move task education suffer lay foot.,Low-caffeine
Coca-Cola,Coca-Cola Mixed Fruit Blast,Mixed Fruit,Energy Drink,"Sugar, Citric Acid, Citric Acid, Caffeine, Sugar, Sweetener",30,5,20,"Low sugar, Low calorie",Brazil,Post-workout,Old force now actually could job stock answer campaign history.,"Low-sugar, Low-calorie"
Limca,Limca Strawberry Blast,Strawberry,Tonic,"Citric Acid, Fruit Juice Concentrate, Sugar, Natural Flavors, Sweetener, Sodium Benzoate",160,0,0,"Sugar-free, Zero calorie, High caffeine",India,Post-workout,Face policy site seek dream produce article president west because.,"Diabetic-safe, Low-calorie, High-caffeine"
Appy Fizz,Appy Fizz Pineapple Blast,Pineapple,Sparkling Water,"Sweetener, Herbal Extract, Herbal Extract, Sugar, Sweetener, Herbal Extract",0,30,120,Sugar-free,South Africa,Hydration,Today energy so third hand throughout gun question prevent choice hour.,Caffeine-free
Red Bull,Red Bull Citrus Blast,Citrus,Diet Soda,"Natural Flavors, Herbal Extract, Caffeine, Herbal Extract, Citric Acid, Herbal Extract",10,5,20,Low calorie,Australia,Post-workout,Realize ahead pretty learn so.,"Low-sugar, Low-caffeine, Low-calorie"
Monster,Monster Lychee Blast,Lychee,Soda,"Sodium Benzoate, Citric Acid, Caffeine, Natural Flavors, Herbal Extract, Fruit Juice Concentrate",120,30,120,High caffeine,India,Kids-friendly,Likely nearly all fly song crime.,High-caffeine
Topo Chico,Topo Chico Cola Blast,Cola,Soda,"Herbal Extract, Citric Acid, Carbonated Water, Artificial Flavor, Caffeine, Natural Flavors",120,40,160,Low calorie,Brazil,Everyday,Boy particularly player mouth unit kid their morning wide we.,High-caffeine
Fanta,Fanta Orange Blast,Orange,Sparkling Juice,"Carbonated Water, Fruit Juice Concentrate, Artificial Flavor, Carbonated Water, Sodium Benzoate, Caffeine",80,0,0,"Sugar-free, Zero calorie",Mexico,Party,Degree member rock themselves read poor other candidate vote list.,"Diabetic-safe, Low-calorie"
Canada Dry,Canada Dry Mint Blast,Mint,Tonic,"Sweetener, Carbonated Water, Sodium Benzoate, Herbal Extract, Citric Acid, Caffeine",160,5,20,Sugar-free,Canada,Weight Management,Them expect discover city Mr cost southern fall.,"Low-sugar, Low-calorie, High-caffeine"
Topo Chico,Topo Chico Lemon-Lime Blast,Lemon-Lime,Diet Soda,"Sodium Benzoate, Artificial Flavor, Sodium Benzoate, Carbonated Water, Artificial Flavor, Citric Acid",80,5,20,"Low sugar, Low calorie",Germany,Energy Boost,Along prove cell behavior include film project movement.,"Low-sugar, Low-calorie"
Red Bull,Red Bull Mixed Fruit Blast,Mixed Fruit,Diet Soda,"Sweetener, Caffeine, Herbal Extract, Sugar, Citric Acid, Citric Acid",160,20,80,Sugar-free,Germany,Everyday,He international indicate government give east they court capital return.,High-caffeine
Fresca,Fresca Grape Blast,Grape,Sparkling Water,"Artificial Flavor, Caffeine, Fruit Juice Concentrate, Carbonated Water, Natural Flavors, Carbonated Water",160,10,40,"Low calorie, High caffeine",UK,Party,Sure state key bit smile coach by others enough.,"Low-calorie, High-caffeine"
Irn-Bru,Irn-Bru Lime Blast,Lime,Sparkling Juice,"Natural Flavors, Citric Acid, Fruit Juice Concentrate, Citric Acid, Sweetener, Artificial Flavor",160,30,120,Low calorie,Mexico,Post-workout,Lose military church son night already.,High-caffeine
Big Cola,Big Cola Vanilla Blast,Vanilla,Diet Soda,"Citric Acid, Citric Acid, Herbal Extract, Citric Acid, Artificial Flavor, Artificial Flavor",30,5,20,Low calorie,India,Kids-friendly,Recent city area example knowledge language read hope last.,"Low-sugar, Low-calorie"
Canada Dry,Canada Dry Mango Blast,Mango,Sparkling Juice,"Sodium Benzoate, Caffeine, Herbal Extract, Herbal Extract, Caffeine, Sugar",0,40,160,Low calorie,Germany,Energy Boost,Unit air they scene so trial design our turn finally.,Caffeine-free
Canada Dry,Canada Dry Apple Blast,Apple,Sparkling Water,"Artificial Flavor, Fruit Juice Concentrate, Sweetener, Caffeine, Sugar, Fruit Juice Concentrate",120,10,40,Low calorie,Germany,Weight Management,Friend benefit anyone toward site out a control stand.,"Low-calorie, High-caffeine"
Coca-Cola,Coca-Cola Herbal Blast,Herbal,Soda,"Artificial Flavor, Sodium Benzoate, Caffeine, Artificial Flavor, Fruit Juice Concentrate, Natural Flavors",120,20,80,High caffeine,Mexico,Party,Agree agreement career machine hot discover.,High-caffeine
Mountain Dew,Mountain Dew Orange Blast,Orange,Tonic,"Sugar, Fruit Juice Concentrate, Citric Acid, Citric Acid, Citric Acid, Sweetener",10,10,40,Low calorie,USA,Energy Boost,Business home land stage exist life necessary ever world.,"Low-caffeine, Low-calorie"
Sprite,Sprite Lime Blast,Lime,Sparkling Water,"Sweetener, Citric Acid, Carbonated Water, Artificial Flavor, Sodium Benzoate, Carbonated Water",160,20,80,Low calorie,Canada,Post-workout,Mouth admit information black best.,High-caffeine
Bovonto,Bovonto Pineapple Blast,Pineapple,Sparkling Water,"Herbal Extract, Caffeine, Sodium Benzoate, Carbonated Water, Sugar, Artificial Flavor",80,5,20,Sugar-free,Japan,Hydration,Personal watch together tend cause travel.,"Low-sugar, Low-calorie"
Coca-Cola,Coca-Cola Berry Blast,Berry,Sparkling Water,"Artificial Flavor, Sweetener, Carbonated Water, Sweetener, Sweetener, Carbonated Water",30,10,40,Low calorie,Australia,Weight Management,Maintain strategy explain team take.,Low-calorie
Canada Dry,Canada Dry Mint Blast,Mint,Sparkling Juice,"Citric Acid, Caffeine, Carbonated Water, Sweetener, Sweetener, Natural Flavors",160,40,160,Low calorie,Australia,Energy Boost,Bag on sister floor third system agreement yard.,High-caffeine
Limca,Limca Coconut Blast,Coconut,Tonic,"Herbal Extract, Sweetener, Sodium Benzoate, Carbonated Water, Fruit Juice Concentrate, Sodium Benzoate",160,5,20,Low calorie,UK,Kids-friendly,Far nearly over during challenge probably quality never.,"Low-sugar, Low-calorie, High-caffeine"
7UP,7UP Herbal Blast,Herbal,Soda,"Fruit Juice Concentrate, Sweetener, Sweetener, Sweetener, Fruit Juice Concentrate, Natural Flavors",160,30,120,High caffeine,India,Kids-friendly,Man size American moment live must country.,High-caffeine
Thums Up,Thums Up Lemon-Lime Blast,Lemon-Lime,Sparkling Juice,"Herbal Extract, Herbal Extract, Natural Flavors, Artificial Flavor, Sugar, Fruit Juice Concentrate",120,10,40,Low calorie,South Africa,Post-workout,Term job unit care officer money fund cover something.,"Low-calorie, High-caffeine"
7UP,7UP Tamarind Blast,Tamarind,Energy Drink,"Citric Acid, Carbonated Water, Herbal Extract, Caffeine, Carbonated Water, Herbal Extract",30,10,40,Low calorie,Mexico,Hydration,Meeting political middle expert.,Low-calorie
Bovonto,Bovonto Ginger Blast,Ginger,Soda,"Sodium Benzoate, Fruit Juice Concentrate, Caffeine, Fruit Juice Concentrate, Natural Flavors, Natural Flavors",30,5,20,"Low sugar, Low calorie",Brazil,Hydration,Sort enough treatment his difference represent value receive treat.,"Low-sugar, Low-calorie"
LaCroix,LaCroix Lemon-Lime Blast,Lemon-Lime,Soda,"Carbonated Water, Caffeine, Herbal Extract, Sugar, Carbonated Water, Fruit Juice Concentrate",160,10,40,"Low calorie, High caffeine",Germany,Kids-friendly,Week field item reduce actually particular job.,"Low-calorie, High-caffeine"
Limca,Limca Vanilla Blast,Vanilla,Soda,"Citric Acid, Natural Flavors, Artificial Flavor, Artificial Flavor, Carbonated Water, Carbonated Water",80,10,40,Zero calorie,USA,Party,Teach another reveal method eat final black during end speech.,Low-calorie
Fanta,Fanta Lemon-Lime Blast,Lemon-Lime,Sparkling Juice,"Sweetener, Sugar, Natural Flavors, Caffeine, Herbal Extract, Citric Acid",0,40,160,Caffeine-free,India,Kids-friendly,Beyond paper page left coach everything in group really.,Caffeine-free
Mountain Dew,Mountain Dew Apple Blast,Apple,Sparkling Water,"Natural Flavors, Fruit Juice Concentrate, Sugar, Fruit Juice Concentrate, Sugar, Natural Flavors",10,0,0,"Sugar-free, Zero calorie",Brazil,Hydration,Remember successful lose level section sell might compare.,"Diabetic-safe, Low-caffeine, Low-calorie"
Jarritos,Jarritos Tamarind Blast,Tamarind,Sparkling Juice,"Sweetener, Sodium Benzoate, Carbonated Water, Sodium Benzoate, Citric Acid, Sugar",0,0,0,Sugar-free,USA,Post-workout,Practice money fire change sign increase.,"Diabetic-safe, Caffeine-free, Low-calorie, Kids-friendly"
7UP,7UP Lemon-Lime Blast,Lemon-Lime,Sparkling Juice,"Sodium Benzoate, Citric Acid, Fruit Juice Concentrate, Fruit Juice Concentrate, Herbal Extract, Sugar",80,0,0,"Sugar-free, Zero calorie",Canada,Post-workout,Other unit fund throughout green.,"Diabetic-safe, Low-calorie"
7UP,7UP Lime Blast,Lime,Energy Drink,"Natural Flavors, Sweetener, Sweetener, Natural Flavors, Citric Acid, Natural Flavors",10,30,120,Zero calorie,Canada,Post-workout,Say director when president at conference nation.,Low-caffeine
Big Cola,Big Cola Tamarind Blast,Tamarind,Soda,"Carbonated Water, Sugar, Sweetener, Herbal Extract, Artificial Flavor, Sugar",10,5,20,Low calorie,Japan,Hydration,One stuff stop alone herself station edge bag.,"Low-sugar, Low-caffeine, Low-calorie"
Big Cola,Big Cola Lime Blast,Lime,Sparkling Water,"Sugar, Citric Acid, Sodium Benzoate, Fruit Juice Concentrate, Citric Acid, Artificial Flavor",80,0,0,"Sugar-free, Zero calorie",Brazil,Hydration,Her partner land drive off parent themselves lawyer since.,"Diabetic-safe, Low-calorie"
Sprite,Sprite Grape Blast,Grape,Diet Soda,"Citric Acid, Sweetener, Natural Flavors, Sodium Benzoate, Fruit Juice Concentrate, Citric Acid",10,5,20,"Low sugar, Low calorie",South Africa,Party,These science cup serious be.,"Low-sugar, Low-caffeine, Low-calorie"
Fresca,Fresca Berry Blast,Berry,Energy Drink,"Natural Flavors, Sodium Benzoate, Sodium Benzoate, Sodium Benzoate, Herbal Extract, Citric Acid",40,10,40,Low calorie,Germany,Post-workout,Political trial yes while training kind bit interview.,Low-calorie
Mirinda,Mirinda Apple Blast,Apple,Energy Drink,"Fruit Juice Concentrate, Sweetener, Sugar, Herbal Extract, Citric Acid, Sodium Benzoate",0,30,120,Sugar-free,USA,Kids-friendly,Daughter national what act cup today information state product program.,Caffeine-free
Red Bull,Red Bull Apple Blast,Apple,Soda,"Sweetener, Citric Acid, Sodium Benzoate, Citric Acid, Herbal Extract, Sweetener",10,20,80,Sugar-free,Mexico,Energy Boost,Authority project claim relationship true machine often go.,Low-caffeine
Canada Dry,Canada Dry Lime Blast,Lime,Soda,"Sodium Benzoate, Sugar, Natural Flavors, Carbonated Water, Herbal Extract, Natural Flavors",160,30,120,High caffeine,India,Energy Boost,Test people enter world increase billion top wind.,High-caffeine
Mirinda,Mirinda Ginger Blast,Ginger,Sparkling Water,"Sugar, Carbonated Water, Sweetener, Fruit Juice Concentrate, Sweetener, Herbal Extract",0,20,80,Caffeine-free,India,Energy Boost,Several word might quality real remember how area research.,Caffeine-free
Fanta,Fanta Grape Blast,Grape,Diet Soda,"Fruit Juice Concentrate, Citric Acid, Caffeine, Sweetener, Natural Flavors, Sugar",0,10,40,"Low calorie, Caffeine-free",Japan,Party,Someone evidence line suggest learn who light message or.,"Caffeine-free, Low-calorie, Kids-friendly"
Canada Dry,Canada Dry Apple Blast,Apple,Diet Soda,"Fruit Juice Concentrate, Artificial Flavor, Sodium Benzoate, Caffeine, Artificial Flavor, Sweetener",10,40,160,Sugar-free,Brazil,Kids-friendly,Special garden wind meet of hour.,Low-caffeine
Bovonto,Bovonto Lychee Blast,Lychee,Soda,"Natural Flavors, Sugar, Artificial Flavor, Artificial Flavor, Natural Flavors, Sodium Benzoate",30,0,0,Sugar-free,Germany,Post-workout,Democrat public simple reality member role former purpose clearly step.,"Diabetic-safe, Low-calorie"
Monster,Monster Berry Blast,Berry,Tonic,"Fruit Juice Concentrate, Sodium Benzoate, Caffeine, Herbal Extract, Fruit Juice Concentrate, Fruit Juice Concentrate",30,0,0,"Sugar-free, Zero calorie",South Africa,Weight Management,College stuff day dinner call throw pressure.,"Diabetic-safe, Low-calorie"
Bovonto,Bovonto Vanilla Blast,Vanilla,Diet Soda,"Citric Acid, Artificial Flavor, Sodium Benzoate, Artificial Flavor, Sugar, Herbal Extract",120,30,120,High caffeine,South Africa,Everyday,Large east operation anyone no difficult former.,High-caffeine
Coca-Cola,Coca-Cola Strawberry Blast,Strawberry,Tonic,"Sugar, Herbal Extract, Citric Acid, Sugar, Citric Acid, Sodium Benzoate",120,30,120,Low calorie,Brazil,Party,Over when rock own down.,High-caffeine
Topo Chico,Topo Chico Strawberry Blast,Strawberry,Soda,"Herbal Extract, Sweetener, Caffeine, Natural Flavors, Sugar, Citric Acid",120,40,160,High caffeine,Germany,Party,Hotel would three personal cost.,High-caffeine
Sprite,Sprite Melon Blast,Melon,Sparkling Juice,"Sweetener, Natural Flavors, Sweetener, Sweetener, Sugar, Artificial Flavor",120,30,120,Sugar-free,Brazil,Energy Boost,Much front move kitchen say help analysis positive.,High-caffeine
Jarritos,Jarritos Lemon-Lime Blast,Lemon-Lime,Soda,"Citric Acid, Sugar, Fruit Juice Concentrate, Sodium Benzoate, Sugar, Natural Flavors",0,10,40,"Low calorie, Caffeine-free",Canada,Post-workout,Too have through sport entire father.,"Caffeine-free, Low-calorie, Kids-friendly"
LaCroix,LaCroix Melon Blast,Melon,Sparkling Juice,"Citric Acid, Sweetener, Sugar, Herbal Extract, Natural Flavors, Sugar",160,10,40,Low calorie,Brazil,Kids-friendly,Somebody may be land including computer study several computer.,"Low-calorie, High-caffeine"
7UP,7UP Herbal Blast,Herbal,Sparkling Water,"Carbonated Water, Fruit Juice Concentrate, Fruit Juice Concentrate, Citric Acid, Natural Flavors, Citric Acid",80,10,40,Zero calorie,Canada,Hydration,Else movie help class shake fast student voice my.,Low-calorie
Red Bull,Red Bull Vanilla Blast,Vanilla,Soda,"Sodium Benzoate, Natural Flavors, Artificial Flavor, Fruit Juice Concentrate, Sodium Benzoate, Sodium Benzoate",10,0,0,Zero calorie,India,Kids-friendly,Role factor affect test product industry.,"Diabetic-safe, Low-caffeine, Low-calorie"
Monster,Monster Herbal Blast,Herbal,Diet Soda,"Citric Acid, Artificial Flavor, Carbonated Water, Caffeine, Natural Flavors, Fruit Juice Concentrate",40,0,0,Low calorie,UK,Weight Management,Generation have determine low thank cost without age.,"Diabetic-safe, Low-calorie"
Monster,Monster Pineapple Blast,Pineapple,Sparkling Water,"Artificial Flavor, Sugar, Natural Flavors, Citric Acid, Sugar, Natural Flavors",120,5,20,"Low sugar, Low calorie, High caffeine",India,Post-workout,Couple voice bit much year charge.,"Low-sugar, Low-calorie, High-caffeine"
Monster,Monster Ginger Blast,Ginger,Tonic,"Sodium Benzoate, Sweetener, Sweetener, Artificial Flavor, Fruit Juice Concentrate, Artificial Flavor",10,10,40,Low calorie,India,Post-workout,Mrs behind small structure wait Democrat.,"Low-caffeine, Low-calorie"
Fanta,Fanta Grape Blast,Grape,Sparkling Juice,"Natural Flavors, Sweetener, Sweetener, Caffeine, Carbonated Water, Sugar",10,10,40,Low calorie,Brazil,Everyday,Receive focus camera main six half its.,"Low-caffeine, Low-calorie"
Appy Fizz,Appy Fizz Orange Blast,Orange,Energy Drink,"Sugar, Herbal Extract, Citric Acid, Herbal Extract, Carbonated Water, Artificial Flavor",80,0,0,Low calorie,Australia,Party,Each more most theory be indeed have still seem.,"Diabetic-safe, Low-calorie"
